code,stat_date,close,eps,pe,pe_rank,valuation_score,update_time,pub_date
300001,2015-06-30,19.99412228,0.1,199.9412228,0.281638288080994,0.718361711919006,,2015-08-26
300001,2015-09-30,16.43658764,0.13,126.43528953846153,0.20814061054579094,0.7918593894542091,,2015-10-19
300001,2015-12-31,28.188116,0.16,176.175725,0.16862233811386354,0.8313776618861365,,2016-04-26
300001,2016-03-31,24.18345952,0.05,483.6691904,0.23648330982604607,0.763516690173954,,2016-04-26
300001,2016-06-30,21.08276676,0.09,234.252964,0.2086767895878525,0.7913232104121475,,2016-08-27
300001,2016-09-30,19.71224112,0.13,151.63262400000002,0.20480928689883915,0.7951907131011609,,2016-10-29
300001,2016-12-31,,0.23,,,,,2017-04-17
300001,2017-03-31,15.92142552,0.06,265.357092,0.35784895215500195,0.6421510478449981,,2017-04-17
300001,2017-06-30,16.29078704,0.1,162.9078704,0.19618430525557956,0.8038156947444204,,2017-08-18
300001,2017-09-30,,0.14,,,,,2017-10-28
300001,2017-12-31,,0.19,,,,,2018-03-23
300001,2018-03-31,,0.06,,,,,2018-04-21
300001,2018-06-30,,0.12,,,,,2018-07-17
300001,2018-09-30,,0.14,,,,,2018-10-27
300002,2015-06-30,14.6362674,0.0554,264.1925523465704,0.21813161527841693,0.781868384721583,,2015-08-15
300002,2015-09-30,10.43938495,0.0901,115.86442785793564,0.22525439407955597,0.7747456059204441,,2015-10-24
300002,2015-12-31,12.5810435,0.1774,70.91907271702367,0.3946110386788353,0.6053889613211647,,2016-04-26
300002,2016-03-31,8.4705957,0.0075,1129.4127600000002,0.10296191819464035,0.8970380818053596,,2016-04-26
300002,2016-06-30,10.2184964,0.1232,82.9423409090909,0.5193058568329718,0.4806941431670282,,2016-08-18
300002,2016-09-30,10.28622842,0.177,58.11428485875707,0.4987562189054726,0.5012437810945274,,2016-10-29
300002,2016-12-31,,0.2565,,,,,2017-04-25
300002,2017-03-31,9.13795339,0.0096,951.8701447916667,0.09529458283906682,0.9047054171609332,,2017-04-25
300002,2017-06-30,8.04757458,0.0078,1031.7403307692307,0.028077753779697623,0.9719222462203023,,2017-08-29
300002,2017-09-30,,-0.0187,,,,,2017-10-27
300002,2017-12-31,,0.061,,,,,2018-04-27
300002,2018-03-31,,-0.0236,,,,,2018-04-27
