code,stat_date,roe_score,roe_clip,net_margin,gross_margin,eps,profit_growth,revenue_growth,growth_quality,stability_score,quality_score,update_time,pub_date
300001,2015-06-30,0.5,0.0529,,0.247993249857,0.1,0.20232869690972077,0.3409095352054536,0.2577610322280139,0.9227735749918436,0.47013365180496436,,2015-08-26
300001,2015-09-30,0.5,0.0702,,0.261040150974,0.13,-0.07762758382175136,0.1719958852671304,0.022221803813801344,0.8377124864492013,0.38998357256575067,,2015-10-19
300001,2015-12-31,0.5,0.0906,,0.241483260472,0.16,-0.08472302529435723,0.5537770158709462,0.17067699117176416,0.8305306595460363,0.4253019126794501,,2016-04-26
300001,2016-03-31,0.5,0.020099999999999996,,0.26876545035599997,0.05,0.13134317160415748,0.9018181591262058,0.4395331666129768,0.87250806953439,0.5030103090368417,,2016-04-26
300001,2016-06-30,0.5,0.0349,,0.23808483619,0.09,0.11632623254946123,1.3316174349111114,0.6024427134941214,0.8940092664585391,0.549112994988165,,2016-08-27
300001,2016-09-30,0.5,0.0462,,0.265689634664,0.13,0.12063781788575657,1.0512937991972142,0.49290021041033966,0.9058480094875703,0.5246870549744775,,2016-10-29
300001,2016-12-31,0.5,0.0875,,0.208629416847,0.23,0.5457908854668503,1.0367361511816546,0.7421689917527721,0.8253514272170273,0.5668801047424499,,2017-04-17
300001,2017-03-31,0.5,0.0203,,0.267404489807,0.06,0.10987275648248108,0.07645940114084182,0.09650741434582538,0.8229539673286755,0.4048653454186252,,2017-04-17
300001,2017-06-30,0.5,0.035699999999999996,,0.22245931850800002,0.1,0.07606492201935809,0.12430906281569955,0.09536257833789467,0.8179216524807854,0.40332105770466997,,2017-08-18
300001,2017-09-30,0.5,0.048499999999999995,,0.229786182685,0.14,0.10299874750072706,0.22440040835400885,0.15155941184203978,0.8161849987660721,0.41693610265202796,,2017-10-28
300001,2017-12-31,0.5,0.0692,,0.253274587886,0.19,-0.1489285550158717,-0.16475801914486876,-0.15526034066747052,0.8900873638834494,0.3587067558039947,,2018-03-23
300001,2018-03-31,0.5,1.0,,0.217301168949,0.06,0.02365504770369641,0.26932737211387053,0.12192397746776606,0.8983494123028832,0.4300683474426623,,2018-04-21
300001,2018-06-30,0.5,0.0405,,0.24526381252499999,0.12,0.20095728760411333,0.007038846886857287,0.1233899113172109,0.8710476853771397,0.42360939917358764,,2018-07-17
300001,2018-09-30,0.5,0.0472,,0.252873763599,0.14,0.029109019213281642,0.02383537982099181,0.02699956345636571,0.874999491112042,0.40049976364210194,,2018-10-27
300002,2015-06-30,0.5,0.0231,,0.292656204422,0.0554,-0.5010087476133167,0.017093866299069577,-0.2937677020483622,0.738528969459181,0.2861903168527047,,2015-08-15
300002,2015-09-30,0.5,0.0369,,0.30568929622700003,0.0901,-0.5199651514259235,0.058650587513912465,-0.2885188558499891,0.7375982104286364,0.2872698386446618,,2015-10-24
300002,2015-12-31,0.5,0.0745,,0.367300047741,0.1774,-0.4450626702791086,0.06455723650462533,-0.241214707565615,0.9589339639655471,0.354429814099983,,2016-04-26
300002,2016-03-31,0.8,0.3,,0.241439223102,0.0075,-0.6101280646655023,0.4090828937359858,-0.20244368130490703,0.93585114629831,0.4633518662483507,,2016-04-26
300002,2016-06-30,0.5,0.0481,,0.271783436843,0.1232,1.2290974056328818,0.22900809089027852,0.8290616797358406,0.5320091262739755,0.515267701502454,,2016-08-18
300002,2016-09-30,0.5,0.0679,,0.303573204345,0.177,0.95569337572243,0.17242332522756992,0.642385355524486,0.51431174721023,0.46417427568367897,,2016-10-29
300002,2016-12-31,1.0,0.1018,,0.41655603245199996,0.2565,0.4439859408596916,0.05880489201431605,0.2899135213215414,0.5520864433555596,0.5604999911692752,,2017-04-25
300002,2017-03-31,0.8,0.37,,0.430006669263,0.0096,0.24968768895325077,-0.06089893901232706,0.12545303776701963,0.6888458585052853,0.4835747240680762,,2017-04-25
300002,2017-06-30,0.8,0.3,,0.441016505798,0.0078,-0.9373766790169293,-0.15687563035583788,-0.6251762595524928,0.555249858252279,0.2625183996749465,,2017-08-29
300002,2017-09-30,0.0,-0.73,,0.464601918368,-0.0187,-1.0,-0.23142122596283216,-0.6925684903851328,0.56686852615044,-0.03142499105867319,,2017-10-27
300002,2017-12-31,0.5,0.0235,,0.692814984978,0.061,-0.7643551645729237,-0.30991242604954267,-0.5825780691635714,0.6314315147865883,0.18721336140575423,,2018-04-27
300002,2018-03-31,0.0,-0.9,,0.73985538752,-0.0236,-1.0,-0.48078851341704476,-0.7923154053668179,0.8997911184530066,0.026868928271547188,,2018-04-27
300002,2018-06-30,0.0,-0.0268,,0.737812972304,-0.0693,-1.0,-0.45310596236507716,-0.7812423849460308,0.8945964798643617,0.028338523729582732,,2018-08-30
300002,2018-09-30,0.0,-0.030299999999999997,,0.718764450262,-0.0783,-1.0,-0.36889049274196,-0.747556197096784,0.8945964798643617,0.036760070691894436,,2018-10-30
300003,2015-06-30,0.5,0.08810000000000001,,0.535598825947,0.1774,0.36605661769145964,0.6811092149271797,0.49207765658574765,0.894101671243421,0.5215448319572922,,2015-08-26
300003,2015-09-30,1.0,0.1257,,0.544772643982,0.2559,0.3051000872500357,0.6128433115242411,0.4281973769597178,0.9140113192380144,0.685552174049433,,2015-10-27
300003,2015-12-31,1.0,0.1562,,0.553245642035,0.3208,0.23085958163425632,0.6592689346846509,0.40222332285441414,0.9379747745719117,0.6850495243565814,,2016-03-31
300003,2016-03-31,0.5,0.0361,,0.580235260061,0.1015,0.37692312797734767,0.2696494141170381,0.33401364243322385,0.9370714050774059,0.4927712618776574,,2016-04-27
300003,2016-06-30,0.5,0.0803,,0.601232628681,0.219,0.3104361797905226,0.25820316547037836,0.28954297406246493,0.9436526714504206,0.48329891137822134,,2016-08-27
300003,2016-09-30,1.0,0.11789999999999999,,0.605298599243,0.3136,0.30771455753234034,0.2782603395821074,0.29593287035224713,0.9436494124422338,0.6598955706986203,,2016-10-29
300003,2016-12-31,1.0,0.147,,0.6095042350859999,0.3913,0.3040276193552707,0.2524745767695891,0.28340640232099806,0.9663103435562171,0.6624291864693038,,2017-03-31
300003,2017-03-31,0.5,0.041100000000000005,,0.635251359969,0.1309,0.3116027148963352,0.29157452453405086,0.30359143875142147,0.9966456416577064,0.500059270102282,,2017-04-27
300003,2017-06-30,0.5,0.0866,,0.646241057738,0.2788,0.31229879400876925,0.30232859855707744,0.30831071582809255,0.9961848436145964,0.5011238898606722,,2017-08-29
300003,2017-09-30,1.0,0.1265,,0.662726049149,0.4151,0.35829564501698025,0.30335565002904513,0.3363196470218062,0.9758213510149151,0.6780352495091803,,2017-10-27
300003,2017-12-31,1.0,0.1517,,0.672315848599,0.5053,0.32363302986149256,0.3085271335931502,0.31759067135415564,0.9785405753933514,0.6740328116868768,,2018-03-13
300003,2018-03-31,0.5,0.0455,,0.725492214642,0.1702,0.3069962599778127,0.39180801953732597,0.340920963801618,0.9774579912214212,0.5045947387557598,,2018-04-27
300003,2018-06-30,1.0,0.1263,,0.7279578644679999,0.4545,0.6348298097330326,0.35369729063182653,0.5223768020925501,0.8664887096405727,0.6972163779332807,,2018-08-14
300003,2018-09-30,1.0,0.1765,,0.733381322158,0.6418,0.5488557283093339,0.39331067036142814,0.48663770513017157,0.8593965249792004,0.686508557527343,,2018-10-27
300004,2015-06-30,0.5,0.63,,0.32790502250000003,0.07,0.21167609666949846,0.986114811908387,0.5214515827650539,0.6418587957768415,0.46582759463547385,,2015-08-26
300004,2015-09-30,0.5,0.020499999999999997,,0.383674873342,0.12,0.006090075126682995,0.2731216950328198,0.11290272308913772,0.6167409897875809,0.35741092821917964,,2015-10-30
300004,2015-12-31,0.5,1.0,,0.363982903241,0.09,-0.5912403225160894,0.0020353986031666944,-0.35393003406838697,0.7338830985914051,0.26998826613075455,,2016-04-26
300004,2016-03-31,0.5,0.55,,0.341210017606,0.03,0.4727346993532777,0.305296937436287,0.4057595945864814,0.6882666427099682,0.4485065593241124,,2016-04-26
300004,2016-06-30,0.5,0.83,,0.366792863668,0.05,0.32095694058341295,0.017984870733408185,0.19976811264341104,0.6798590027363356,0.39490677884493663,,2016-08-20
300004,2016-09-30,0.5,0.72,,0.340782087966,0.04,-0.6473888711017703,-0.1777559219638828,-0.4595356914466153,0.6287770905071202,0.2173103497651262,,2016-10-25
300004,2016-12-31,0.5,0.0302,,0.350173337946,0.18,1.0859686491162683,0.09132514105215507,0.688111245890623,0.5821715838279848,0.4925707074296519,,2017-04-21
300004,2017-03-31,0.0,-0.63,,0.186642895891,-0.04,-1.0,-0.4360213018281284,-0.7744085207312513,0.5137699815645218,-0.06515963479168238,,2017-04-21
300004,2017-06-30,0.5,0.0313,,0.188400573168,0.19,2.929933945241439,-0.20882989564787857,1.674428408885712,0.3564309964269472,0.6827148513281648,,2017-08-26
300004,2017-09-30,0.5,0.040999999999999995,,0.24873714651499998,0.26,3.0,0.04270018268572587,1.8170800730742902,0.34602319152623984,0.7157758161501325,,2017-10-28
300004,2017-12-31,0.5,0.97,,0.30113292643600004,0.06,-0.6753211551041329,-0.021679117544076684,-0.4138643400801104,0.31253596915637816,0.14966790726906692,,2018-04-25
300004,2018-03-31,0.0,-0.57,,0.242000444998,-0.03,0.08769544020679187,0.024065665743419055,0.06224353042144275,0.3439636340876263,0.10155179112726727,,2018-04-27
300004,2018-06-30,0.0,-0.52,,0.30506275499200003,-0.03,-1.0,0.11727892756958751,-0.5530884289721649,0.3542897518039683,-0.04969966929204915,,2018-08-28
300004,2018-09-30,0.8,0.42,,0.30477870119399997,0.03,-0.898954169678477,0.04299369281991639,-0.5221750246791196,0.6702556117493216,0.31702014676755047,,2018-10-27
300005,2015-06-30,0.5,0.09609999999999999,,0.512992936084,0.2414,0.011651113486318303,0.0860679402487587,0.04141784419129447,0.9023090598127035,0.4109317260009995,,2015-08-15
300005,2015-09-30,1.0,0.11449999999999999,,0.273621232584,0.2851,-0.1787768038222522,0.9262808359340639,0.26324625208027425,0.8468003608909884,0.6275116532428157,,2015-10-21
300005,2015-12-31,1.0,0.19899999999999998,,0.23807746250800002,0.5139,-0.10497536625385223,1.2198571380072225,0.42495763545057774,0.8536569065221215,0.6696536354931748,,2016-04-26
300005,2016-03-31,0.5,0.049400000000000006,,0.36786573071600004,0.1397,-0.2390281304248168,0.33866701901995866,-0.007950070646906615,0.9025951034457019,0.3986612581996988,,2016-04-26
300005,2016-06-30,0.5,0.0643,,0.329851347548,0.1145,-0.2391668123871476,0.6085823009569108,0.09993283295047575,0.9401094596410333,0.4350105731478773,,2016-08-20
300005,2016-09-30,0.5,0.06849999999999999,,0.297145661027,0.1185,-0.31508895905773293,-0.1243089622183526,-0.2387769603219808,0.9196209505274919,0.34521099755137774,,2016-10-26
300005,2016-12-31,0.5,0.0751,,0.292559402838,0.1969,-0.3712701712932182,-0.24418548102843476,-0.3204362951873048,0.9395668897508354,0.32978264864088264,,2017-04-27
