date,cash,stock,total_value,position
2017-05-05,66258650.64657763,28396564.562818978,94655215.2093966,0.3
2017-05-08,65671303.558712825,28144844.38230549,93816147.94101831,0.3
2017-05-09,65862383.026097685,28226735.582613293,94089118.60871097,0.3
2017-05-10,65471391.12315057,28059167.62420739,93530558.74735796,0.3
2017-05-11,65448784.85949592,28049479.225498248,93498264.08499417,0.3
2017-05-12,65446210.938525334,28048376.116510857,93494587.05503619,0.3
2017-05-15,65484663.53809139,28064855.802039165,93549519.34013055,0.3
2017-05-16,0.0,94156508.24242772,94156508.24242772,1.0
2017-05-17,66046911.53447358,28305819.22906011,94352730.7635337,0.3
2017-05-18,65833580.170669496,28214391.501715496,94047971.67238499,0.3
2017-05-19,65758072.740047544,28182031.17430609,93940103.91435364,0.3
2017-05-22,65416243.72408372,28035533.024607312,93451776.74869104,0.3
2017-05-23,0.0,92403485.14898817,92403485.14898817,1.0
2017-05-24,0.0,92565212.41349337,92565212.41349337,1.0
2017-05-25,0.0,93240047.6451184,93240047.6451184,1.0
2017-05-26,0.0,92736911.73568065,92736911.73568065,1.0
2017-05-31,0.0,92487788.77709162,92487788.77709162,1.0
2017-06-01,0.0,89304818.05809282,89304818.05809282,1.0
2017-06-02,0.0,90135956.27335337,90135956.27335337,1.0
2017-06-05,0.0,91179619.03615096,91179619.03615096,1.0
2017-06-06,0.0,91615191.6957112,91615191.6957112,1.0
2017-06-07,0.0,93580783.92672637,93580783.92672637,1.0
2017-06-08,0.0,93640516.62219504,93640516.62219504,1.0
2017-06-09,0.0,93996692.20763,93996692.20763,1.0
2017-06-12,0.0,92730481.1280402,92730481.1280402,1.0
2017-06-13,0.0,93993234.22737063,93993234.22737063,1.0
2017-06-14,0.0,94274667.21666421,94274667.21666421,1.0
2017-06-15,0.0,95435447.5245054,95435447.5245054,1.0
2017-06-16,0.0,95321835.40365931,95321835.40365931,1.0
2017-06-19,0.0,96189990.85622531,96189990.85622531,1.0
2017-06-20,0.0,96393771.76934269,96393771.76934269,1.0
2017-06-21,0.0,96884016.06739902,96884016.06739902,1.0
2017-06-22,0.0,95192183.60769376,95192183.60769376,1.0
2017-06-23,0.0,95350086.60160697,95350086.60160697,1.0
2017-06-26,0.0,96741124.38683926,96741124.38683926,1.0
2017-06-27,0.0,96686170.6391016,96686170.6391016,1.0
2017-06-28,0.0,96378964.82437792,96378964.82437792,1.0
2017-06-29,0.0,96654085.90340272,96654085.90340272,1.0
2017-06-30,0.0,96993210.61551265,96993210.61551265,1.0
2017-07-03,0.0,97930187.87600912,97930187.87600912,1.0
2017-07-04,0.0,97719166.57053287,97719166.57053287,1.0
2017-07-05,0.0,98468285.96914962,98468285.96914962,1.0
2017-07-06,0.0,99270549.68202694,99270549.68202694,1.0
2017-07-07,0.0,99802668.24458231,99802668.24458231,1.0
2017-07-10,0.0,99646334.10602984,99646334.10602984,1.0
2017-07-11,0.0,98350509.95438509,98350509.95438509,1.0
2017-07-12,0.0,98710498.37043202,98710498.37043202,1.0
2017-07-13,0.0,99073654.846555,99073654.846555,1.0
2017-07-14,0.0,98627151.35478652,98627151.35478652,1.0
2017-07-17,0.0,93907187.54885836,93907187.54885836,1.0
2017-07-18,0.0,94790699.43348461,94790699.43348461,1.0
2017-07-19,0.0,96472805.68651675,96472805.68651675,1.0
2017-07-20,0.0,97165823.33202264,97165823.33202264,1.0
2017-07-21,0.0,97213661.8214935,97213661.8214935,1.0
