date,cash,stock_value,total_value,close,ma120,ma250,target_position,overlay_total,overlay_stock,overlay_cash
2005-01-04,612323.5806641986,384507.93208700005,996831.5127511986,982.794,1067.2701416666666,1171.169448,0.3,996831.5127511986,299049.4538253596,697782.058925839
2005-01-05,612323.5806641986,391742.53816900006,1004066.1188331988,992.564,1066.4847166666666,1170.2903720000002,0.3,1004066.1188331988,301219.8356499596,702846.2831832392
2005-01-06,612323.5806641986,387941.285535,1000264.8661991986,983.174,1065.604675,1169.3868280000002,0.3,1000264.8661991986,300079.4598597596,700185.4063394391
2005-01-07,612323.5806641986,390025.549516,1002349.1301801986,983.958,1064.6042666666667,1168.488568,0.3,1002349.1301801986,300704.73905405955,701644.3911261391
2005-01-10,612323.5806641986,393323.33511700016,1005646.9157811988,993.879,1063.4466,1167.6670680000002,0.3,1005646.9157811988,301694.07473435963,703952.8410468391
2005-01-11,612323.5806641986,394506.0775099999,1006829.6581741986,997.135,1062.3018833333333,1166.827216,0.3,1006829.6581741986,302048.89745225955,704780.760721939
2005-01-12,612323.5806641986,396264.1394289999,1008587.7200931984,996.748,1061.2258166666666,1166.0352320000002,0.3,1008587.7200931984,302576.3160279595,706011.4040652388
2005-01-13,612323.5806641986,396848.277209,1009171.8578731986,996.877,1060.1526083333333,1165.204288,0.3,1009171.8578731986,302751.55736195954,706420.3005112391
2005-01-14,612323.5806641986,391667.748864,1003991.3295281986,988.306,1059.2396666666668,1164.1956440000001,0.3,1003991.3295281986,301197.39885845955,702793.930669739
2005-01-17,612323.5806641986,384105.301435,996428.8820991986,967.452,1058.121775,1163.060912,0.3,996428.8820991986,298928.66462975956,697500.2174694391
2005-01-18,612323.5806641986,389768.9459290001,1002092.5265931988,974.689,1057.1836166666667,1161.894596,0.3,1002092.5265931988,300627.75797795964,701464.7686152391
2005-01-19,612323.5806641986,386088.104436,998411.6851001986,967.21,1056.2153833333334,1160.626084,0.3,998411.6851001986,299523.50553005957,698888.179570139
2005-01-20,612323.5806641986,381036.7619909999,993360.3426551984,956.245,1055.1047583333334,1159.38544,0.3,993360.3426551984,298008.1027965595,695352.239858639
