code,shares,cost,return,status
601600,7600,8.90974860776,-0.4984297045549292,已卖出
2204,8500,7.805836480664444,-0.4518080169576193,已卖出
2576,2200,30.035061456399998,-0.41873557752152,已卖出
652,6500,10.710212056606562,-0.39743199996968337,已卖出
300085,1200,52.17798229643999,-0.39165884794062455,已卖出
600331,7300,8.155853771948234,-0.38607588717642394,已卖出
300278,3100,21.74768548953,-0.3798160866022582,已卖出
300055,1900,34.91340893040001,-0.3731650372099813,已卖出
300032,2400,27.929896444449998,-0.3471500064002808,已卖出
882,10400,6.350847141801724,-0.3071353003354369,已卖出
600333,6000,11.22375201948,-0.28602468028055494,已卖出
600429,6300,9.554382968129998,-0.27008431748838047,已卖出
852,4600,13.4988189336,-0.2304879331195122,已卖出
2639,6200,10.801310520000001,-0.22944592145657539,已卖出
2657,600,99.8544547,-0.2265484515484515,已卖出
600688,9200,6.868266052796295,-0.22268870569939425,已卖出
600839,8900,7.61686037112,-0.21444397186971442,已卖出
2086,5900,9.755183583321648,-0.17899209464873023,已卖出
600706,3900,15.916814574460796,-0.1743332110705823,已卖出
600283,5600,9.348630304151824,-0.1729533743647722,已卖出
2077,3900,13.725263407669766,-0.17024543269340997,已卖出
601519,2400,16.6742576,-0.16002377221280317,已卖出
300033,1100,60.68719451795,-0.15958129737032922,已卖出
2079,6600,8.655090746497317,-0.13342156346479095,已卖出
600113,5700,9.3532518790425,-0.11719054910287618,已卖出
600712,7000,9.66423490032,-0.11371213548044168,已卖出
300159,4300,15.766236996510003,-0.09867971396182829,已卖出
731,5500,8.40178742624375,-0.07679148965950433,已卖出
300077,2300,19.45806286573085,-0.06658201595763968,已卖出
2123,3700,20.65508117457098,-0.06069074692934573,已卖出
300120,5500,12.15834642022,-0.048063701827754324,已卖出
2356,4000,16.831546782049998,-0.029576239872433407,已卖出
2395,5300,12.71506001766,-0.028826767984872936,已卖出
601126,7100,9.466876819399998,-0.009975005242117696,已卖出
2465,4900,13.664244073479997,-0.001892363144345821,已卖出
2166,7400,9.1626016482,0.014772887657578337,已卖出
799,3900,14.271230511599285,0.019233844394680233,已卖出
600798,7700,5.2411329138321,0.03159883113342521,已卖出
300131,7100,9.529301101319998,0.038045040984359124,已卖出
2172,6000,10.904894,0.03977626926038891,已卖出
936,5300,9.147157212231011,0.040320556215632575,已卖出
2614,5400,12.339411083999996,0.05897400736924863,已卖出
600202,5300,9.3672973518867,0.07526677605908327,已卖出
408,4200,11.453288933955555,0.0756694111354379,已卖出
601099,14800,4.186718015479999,0.11194671229040631,已卖出
300071,5700,9.713449671863437,0.13368917904193367,已卖出
2052,4600,9.893344998092111,0.13599091128100183,已卖出
600010,13900,2.3693020179545616,0.1394784153987818,已卖出
2609,4700,14.150870443709998,0.14213440720065584,已卖出
697,1900,17.92780098780557,0.15192109226708972,已卖出
2103,5200,9.681811332374998,0.15298723648647572,已卖出
600770,3500,10.18182562923073,0.15874995601269126,已卖出
600601,7100,5.36547445473255,0.17391444508032095,已卖出
2307,5600,6.739627704406912,0.18544141433015127,已卖出
2232,5100,11.787698158235997,0.20068211488017984,已卖出
2420,8700,7.098777585899999,0.21447003700524858,已卖出
300353,3800,17.5084893984,0.24696465648288002,已卖出
300345,8200,8.22294625152,0.2848334191904822,已卖出
890,5800,8.60549967341813,0.3091754901996373,已卖出
600584,5700,10.61655808523169,0.3107328841498367,已卖出
600171,3600,10.758379841643396,0.3384229431007335,已卖出
2161,4400,10.637621615943637,0.3546309094959963,已卖出
831,1800,12.58553053310494,0.4193684697209936,已卖出
2311,5400,10.376040036862499,0.4804170535056882,已卖出
2685,4500,6.557588177139999,0.49347669951009454,已卖出
600629,4300,6.543285626319301,0.5239842982690222,已卖出
600986,4500,8.7238627825254,0.5355251140458726,已卖出
600590,5900,6.757276561507169,0.5662988180018078,已卖出
600346,16500,2.6155060070924736,0.5682129319364939,已卖出
600158,2600,12.468190812185542,0.5899597049698244,已卖出
600606,9900,6.287009728999999,0.5902229638493375,已卖出
600556,6500,9.53956751748,0.6272891195491812,已卖出
600851,5300,6.535826421627812,0.6693699224041785,已卖出
2530,7700,8.710161510049998,0.6879418355292479,已卖出
2640,6500,10.427498040959998,0.7223410944321655,已卖出
2043,16100,4.20414966972,0.7537061892877468,已卖出
600343,2600,14.446976924574368,0.7923859570172946,已卖出
2594,3500,11.057905128658739,0.8727379382727469,已卖出
300302,4200,15.930444129599996,0.8808591287261462,已卖出
300188,4200,6.694192441177852,0.9055596258874365,已卖出
2346,2900,6.428859116679998,0.9094113019635202,已卖出
300101,4900,12.626775661499998,0.9390813814095307,已卖出
2390,7400,6.031337226878467,0.956607926416281,已卖出
2184,2700,10.48603115469,0.9944826473575636,已卖出
300269,4500,13.8460043722,1.0403957367529797,已卖出
600645,1900,16.715573874999997,1.063360086376063,已卖出
2568,6100,10.130994153279998,1.1205286575991824,已卖出
600610,5000,6.538591586694796,1.4063668438960466,已卖出
600990,1500,14.073011120773256,1.6885556219502078,已卖出
2107,11500,3.500656112746896,2.6502997475558967,已卖出
34,11200,4.631156749938027,2.709314634892326,已卖出
558,8100,2.7312302162145,2.8242379636772807,已卖出
600446,1100,7.0083257206281155,3.3857582987688586,已卖出
592,5600,1.511989525133043,5.377196239723657,已卖出
