date,strategy_nav,benchmark_nav,excess_nav
2005-01-04,1.0,1.0,1.0
2005-01-05,1.0072576017004449,1.0099410456311293,0.997342969728488
2005-01-06,1.0034442665626855,1.0003866527471679,1.0030564320376738
2005-01-07,1.0055351554986174,1.0011843784150087,1.0043456302129847
2005-01-10,1.0088434233039745,1.0112790676377756,0.9975915210630331
2005-01-11,1.0100299251128264,1.0145920711766656,0.9955034676561701
2005-01-12,1.011793575134431,1.0141982958788922,0.9976289442072298
2005-01-13,1.01237956963052,1.0143295543114834,0.9980775629846583
2005-01-14,1.0071825746732659,1.0056084998483914,1.0015652958632626
2005-01-17,0.9995960895629306,0.984389404086716,1.015447835392258
2005-01-18,1.0052777362821126,0.9917531039058032,1.0136370960907968
2005-01-19,1.0015851950192052,0.984143167337204,1.017723059267072
2005-01-20,0.9965177965868877,0.9729862005669551,1.0241849226702504
2005-01-21,1.0019134646794376,0.9998066736264162,1.0021071984300525
2005-01-24,1.0102678541840544,1.0156075433915959,0.9947423694887991
2005-01-25,1.0076404966201156,1.0152432758034746,0.9925113720380545
2005-01-26,1.0041692921269405,1.0072588965744602,0.9969326610486867
2005-01-27,0.9972073553861504,0.9916940884864986,1.0055594431424573
2005-01-28,0.990413643626067,0.9861771642887522,1.004295860308599
2005-01-31,0.9780501225251079,0.9715962856916098,1.0066425087544504
2005-02-01,0.9744482904774184,0.9726870534415147,1.0018106923801156
2005-02-02,1.0051687412539814,1.02454125686563,0.9810915221990036
2005-02-03,0.9955254571181607,1.0106034428374615,0.9850802153642317
2005-02-04,1.0052157831436088,1.0346603662619023,0.9715417889015378
2005-02-16,1.0115097912620763,1.0415041198867718,0.9712009505752542
2005-02-17,1.0130730464421809,1.0384739833576517,0.97554013165227
2005-02-18,1.0045425907490906,1.0236682356628144,0.9813165591669061
2005-02-21,1.0136838728478585,1.0435889921997896,0.9713439681948984
2005-02-22,1.0298425746705409,1.0650695873194178,0.9669251539352121
2005-02-23,1.0328212116508317,1.062220567077129,0.972322739422007
2005-02-24,1.0366961089615512,1.0637631080368826,0.9745554260428507
2005-02-25,1.0357777388254852,1.0650868849423174,0.9724819199905748
2005-02-28,1.0322963637108262,1.058196325984896,0.9755244261976018
2005-03-01,1.0271792990677533,1.0540703341697242,0.9744883863720987
2005-03-02,1.0202584892149837,1.0392004835194355,0.9817725312826054
2005-03-03,1.0238576648721593,1.0457023547152302,0.9791100309332098
2005-03-04,1.0189297987873056,1.041588572986811,0.9782459458685014
2005-03-07,1.0220075111908118,1.0479011878379396,0.9752899634549013
2005-03-08,1.0348754118931058,1.0673518560349373,0.9695728789356521
2005-03-09,1.0372495674497135,1.0648660858735401,0.9740657357857613
2005-03-10,1.02233041449381,1.0403126189211576,0.9827146147222593
2005-03-11,1.024485065263299,1.045416435183772,0.979977959771798
2005-03-14,1.0239035099958493,1.0490764086878839,0.9760047042488362
2005-03-15,1.0149027943390605,1.0312669796518905,0.9841319603597181
2005-03-16,1.0075985134843106,1.0206258890469417,0.9872358954417705
2005-03-17,1.000264621255299,1.0102452802927167,0.990120558608771
2005-03-18,0.987299061868709,0.9957987126498533,0.9914644890848207
2005-03-21,0.9882762848322081,0.9990832259863207,0.9891831422317758
2005-03-22,0.9745978693591978,0.980901389304371,0.9935737475612676
2005-03-23,0.9743938165163674,0.9757996080562152,0.9985593440207993
2005-03-24,0.9801604722415007,0.9816919924216062,0.9984399178235858
2005-03-25,0.9798189526440109,0.9798136740761544,1.0000053873180137
2005-03-28,0.9790248408559362,0.9775151252449649,1.001544442200414
2005-03-29,0.9730993713222756,0.9719127304399499,1.0012209335726971
2005-03-30,0.9562962064014846,0.9534388691831656,1.0029968751124727
2005-03-31,0.9607822935935495,0.9586983640518766,1.0021737072053252
2005-04-01,0.9818728796685983,0.9952696088905711,0.9865395978111838
2005-04-04,0.9718482328911102,0.9790128958866253,0.9926817480897159
2005-04-05,0.9646443722224393,0.9723278733895404,0.992097828955251
2005-04-06,0.9734900535840404,0.9907142290245973,0.9826143857270377
2005-04-07,0.9805122201693248,1.001972946517785,0.9785815311450835
2005-04-08,0.9920636185377611,1.0210125417941096,0.9716468485240349
2005-04-11,0.99094190144947,1.0128480637854933,0.9783717191953257
2005-04-12,0.9784280325243476,0.9958312728811939,0.982523906578577
2005-04-13,0.9916196178482378,1.0184229858953149,0.9736814973559206
2005-04-14,0.9835637458816336,1.0042541977260748,0.9793971965551248
2005-04-15,0.9705715928945597,0.9911354770175642,0.9792521964959993
2005-04-18,0.9627209365129201,0.9806449774825651,0.981722191637938
2005-04-19,0.9634665393520081,0.982795987765493,0.9803321862786265
2005-04-20,0.9554701788336689,0.9675140466873017,0.9875517385046035
2005-04-21,0.9510230461424428,0.96050749190573,0.9901255889795619
2005-04-22,0.9444383885297597,0.9555420566263123,0.988379718067297
2005-04-25,0.9315769570651625,0.9463529488377016,0.9843863837581034
2005-04-26,0.9393470302961171,0.9534887270374056,0.9851684699144495
2005-04-27,0.9335504356519004,0.9428262687806398,0.9901616730081823
2005-04-28,0.9439299585067146,0.958566088112056,0.9847312253303598
2005-04-29,0.9352424176492844,0.9487186531460307,0.98579532988831
2005-05-09,0.9200863564777202,0.9250911177723917,0.9945899801667938
2005-05-10,0.9196326107447492,0.9290614309814672,0.9898512413471332
2005-05-11,0.9186446514794148,0.9176399123315772,1.0010949165727596
2005-05-12,0.9157869716302515,0.9013282539372443,1.0160415671314504
2005-05-13,0.9198546717793055,0.9030814188934813,1.0185733562167363
2005-05-16,0.9134343616134117,0.890594570174421,1.0256455543340193
2005-05-17,0.9198237159040098,0.8968939574315675,1.0255657408353003
2005-05-18,0.9245528713627783,0.8986583149673278,1.028814685141362
2005-05-19,0.9238349589193555,0.899650384515982,1.026882192037727
2005-05-20,0.921011102116082,0.8982177343370025,1.0253762165984217
2005-05-23,0.9088831085471053,0.878455708927812,1.034637374781742
2005-05-24,0.9172195109879395,0.883660258406136,1.0379775510582931
2005-05-25,0.9186968081601925,0.883655170869989,1.0396553298677624
2005-05-26,0.9158055857077186,0.8723404904791849,1.049825837162113
2005-05-27,0.9126816918127457,0.8643805314236758,1.0558795098144051
2005-05-30,0.917044650529808,0.8705913955518654,1.053358274863831
2005-05-31,0.9157059799993014,0.8709312429664813,1.0514101858147984
2005-06-01,0.9068192954526312,0.8521948648445148,1.0640985211968894
2005-06-02,0.9055016660767554,0.8327065488800298,1.0874198927516943
2005-06-03,0.9047389677939716,0.8323544913786612,1.0869635199485943
2005-06-06,0.9091368472740257,0.8536855129355694,1.0649552247264635
2005-06-07,0.9098987946836776,0.8519404880371676,1.0680309334517524
2005-06-08,0.9386229553595115,0.9216305756852403,1.0184373002833995
2005-06-09,0.9447271906732669,0.9285811675691956,1.017387842514982
2005-06-10,0.9378977703440371,0.9102171970931854,1.0304109539341277
2005-06-13,0.9394155466729818,0.9085922380478513,1.0339242482319193
2005-06-14,0.9326946465165356,0.8990052849325495,1.0374740417532848
2005-06-15,0.9220741735373247,0.8820098616800672,1.0454238819744512
2005-06-16,0.9252268725479393,0.8946300038461773,1.0342005841188207
2005-06-17,0.9250708741339538,0.8957574018563402,1.0327247893423657
2005-06-20,0.9361603017559704,0.9221210141698057,1.01522499473543
2005-06-21,0.9318472688441859,0.9118553837325015,1.0219244032204444
2005-06-22,0.9329830263072252,0.9164138161201635,1.0180804892894468
2005-06-23,0.9270874169290866,0.9092159699794667,1.0196558876435304
2005-06-24,0.9286575921542658,0.9140277616672468,1.0160058929286058
2005-06-27,0.9382202844879898,0.9320803749310639,1.0065873177057074
2005-06-28,0.9317729597758503,0.9195375633143874,1.0133060322379452
2005-06-29,0.9303811347600354,0.9146352134831919,1.0172155205099511
2005-06-30,0.9200289761725532,0.8940693573627841,1.0290353523426208
2005-07-01,0.9023681670992009,0.874541358616353,1.0318187450012357
2005-07-04,0.8958504342307159,0.8709169978652699,1.0286289467613574
2005-07-05,0.8927759698415018,0.8645545251599013,1.0326427586234435
2005-07-06,0.8910711831265332,0.8573068211649645,1.0393842217605216
2005-07-07,0.8925590586953008,0.8595178643744265,1.0384415446035231
2005-07-08,0.8807555720734479,0.8440110541985402,1.0435355884169073
2005-07-11,0.8761597725823626,0.8385246552176753,1.044882541175748
2005-07-12,0.8878577607848187,0.8667289381091053,1.0243776592042824
2005-07-13,0.8852371735856936,0.8610461602329684,1.0280949088097437
2005-07-14,0.884613365483677,0.8644639670164856,1.0233085463778586
2005-07-15,0.8754507915369606,0.8557245974232647,1.023052035868894
2005-07-18,0.8660621094765691,0.8475784345447774,1.0218076276819372
2005-07-19,0.8680120682189801,0.8502371809351705,1.0209057986199324
2005-07-20,0.8694372502370316,0.8573933092794624,1.0140471599524035
2005-07-21,0.8693724940829832,0.8587628740102198,1.0123545397616214
2005-07-22,0.8776014611512097,0.8747438425550014,1.0032668061862107
2005-07-25,0.8765157955205022,0.8718612445741427,1.0053386372835427
2005-07-26,0.8865323164031963,0.8918247364147522,0.9940656277007609
2005-07-27,0.8944663841516887,0.9096636731603978,0.9832935078566896
2005-07-28,0.8931758579308137,0.9064819280540989,0.9853211964723348
2005-07-29,0.891642077257307,0.9037132908829317,0.986642651217588
2005-08-01,0.8953708756875869,0.9072165682737175,0.9869428171834747
2005-08-02,0.9065054940023529,0.9194174974613194,0.9859563218074282
2005-08-03,0.9133633722591634,0.9254940506352298,0.9868927538024256
2005-08-04,0.9082519970540016,0.9199791614519421,0.9872527934443294
2005-08-05,0.9217484421792854,0.9399762310311215,0.9806082449214265
2005-08-08,0.9270217479132625,0.9437084475485199,0.9823179503387889
2005-08-09,0.9384028687143978,0.9494248031632265,0.9883909347932489
2005-08-10,0.9471287346042044,0.9568332733004068,0.9898576492195673
2005-08-11,0.9513298200759529,0.9706937567791419,0.9800514461250472
2005-08-12,0.9415740025304586,0.9547433134512421,0.9862064381753264
2005-08-15,0.9563148766681998,0.9712126854661302,0.9846606113976155
2005-08-16,0.9580447976337207,0.9616033471917818,0.996299358182921
2005-08-17,0.9722795174208565,0.9696965996943407,1.0026636349218199
2005-08-18,0.955530783888225,0.9367893983886756,1.020005975229636
2005-08-19,0.9605292068376042,0.939197838000639,1.02271232744996
2005-08-22,0.9634402085263358,0.9479840129264119,1.0163042787527723
2005-08-23,0.9504130749346624,0.9395804207188893,1.0115292464347916
2005-08-24,0.9552089769761275,0.9469441205379764,1.0087279241286757
2005-08-25,0.9644989933736237,0.9464017891847122,1.0191221153591663
2005-08-26,0.9720236021074491,0.944509225738049,1.029130870953537
2005-08-29,0.9679356848367029,0.9334316245316923,1.0369647432101108
2005-08-30,0.9635050085413576,0.9308970140232846,1.035028573544503
2005-08-31,0.9715397636865821,0.944161238265598,1.0289977223289508
2005-09-01,0.9872713606018112,0.9610956110843167,1.0272353231204154
2005-09-02,0.9900122604369894,0.9644655950280526,1.0264878970702878
2005-09-05,0.9992493520830859,0.9693964350616712,1.0307953649731707
2005-09-06,0.9831239371274174,0.9530074461179047,1.0316015274929833
2005-09-07,0.9981210196000009,0.9694381528580761,1.029587103269417
2005-09-08,0.9996244397174728,0.9720063411050536,1.028413496336887
2005-09-09,0.9911446233674958,0.9656804986599431,1.0263690990372993
2005-09-12,0.9945015528186567,0.9661292193481035,1.0293670172709377
2005-09-13,1.0084641165197041,0.9806470124970238,1.028366072264728
2005-09-14,1.015012422510738,0.9871783914024709,1.0281955433290266
2005-09-15,1.0170042654045488,0.9865729746009845,1.0308454534910325
2005-09-16,1.0168123890949081,0.9844331568975798,1.0328912450484407
2005-09-19,1.0270662190283033,0.9881379007197846,1.039395633220993
2005-09-20,1.0268904556703449,0.9787595365865075,1.0491754279623138
2005-09-21,1.017533006673517,0.960941967492679,1.0588912141369964
2005-09-22,0.9919730046409982,0.9394379697067747,1.0559217709186495
2005-09-23,0.9830595003753905,0.932193318233526,1.0545661303797522
2005-09-26,0.9886561383986032,0.9345651275852315,1.0578782678882257
2005-09-27,0.9707141611685314,0.9200442819146231,1.0550733048940468
2005-09-28,0.9684851618476052,0.9195406158360756,1.053227171446938
2005-09-29,0.9830836908415741,0.9320111844394655,1.0547981690078374
2005-09-30,0.9793709841979152,0.9334529921835095,1.04919154194042
2005-10-10,0.9649552321894946,0.9232056768763343,1.0452223771569733
2005-10-11,0.9799277089602252,0.9358217490135268,1.0471307276125945
2005-10-12,0.9857382533269601,0.9396526637321758,1.0490453455553868
2005-10-13,0.9832965821529798,0.9325443582276652,1.0544233885257437
2005-10-14,0.9757979338173446,0.9206690313534678,1.0598791754544326
2005-10-17,0.9777340525879817,0.9133378917657211,1.070506393529525
2005-10-18,0.986604435927485,0.9181639285547124,1.074540618776546
2005-10-19,0.9842145749976022,0.914478517369866,1.0762577319238775
2005-10-20,0.9847005517858592,0.9156700183354802,1.0753880023022528
2005-10-21,0.9886146369036456,0.9202477833605007,1.0742917883414913
2005-10-24,0.9911293310630238,0.9225249645398731,1.0743658645133451
2005-10-25,0.9747659006584405,0.909928225040039,1.0712558131885055
2005-10-26,0.957632460025266,0.8911531816433557,1.0745991595511306
2005-10-27,0.9519409535676284,0.8911826893530079,1.068177114457565
