year,strategy_return,benchmark_return,excess_return
2005,,,
2006,0.4013944339160449,0.519484582381359,-0.11809014846531407
2008,-0.4999420849531764,0.3039958736350967,-0.8039379585882731
2009,1.3457988687002604,0.9671236855800831,0.37867518312017734
2010,0.2547793815484083,-0.12512934588179492,0.3799087274302032
2011,-0.14894295876806984,-0.17482876268955816,0.025885803921488315
2012,0.040097300918560785,-0.02262342471054868,0.06272072562910946
2013,0.26431869376473727,-0.07646835928705775,0.340787053051795
2014,0.3168213043637078,0.516594664608893,-0.19977336024518522
2015,0.794457312311021,0.05583374956313558,0.7386235627478854
2016,-0.11936195871816557,-0.12804056815790932,0.008678609439743745
2017,-0.1370020324720791,0.1271059867180404,-0.2641080191901195
2019,0.040066497396289646,0.117209924629043,-0.07714342723275336
2020,0.3380910057478017,0.27210647803461474,0.06598452771318697
2021,0.28333803495938614,-0.05198622183362134,0.3353242567930075
2022,-0.17608677836431585,-0.22983850228483738,0.05375172392052152
2023,-0.01566580232210657,0.00987317541477517,-0.02553897773688174
2024,0.048462197119905515,0.024062580254752053,0.02439961686515346
2025,0.47055099670334277,0.17663134379993228,0.2939196529034105
2026,0.3023559012572301,0.07548550040448654,0.22687040085274357
